title,issn_print,issn-l,apc_currency,apc_amount,
Critique: Journal of Socialist Theory,0301-7605,1748-8605,USD,2800,
Critique: Journal of Socialist Theory,0301-7605,1748-8605,GBP,2155,
Critique: Journal of Socialist Theory,0301-7605,1748-8605,EUR,2475,
Critique: Studies in Contemporary Fiction,0011-1619,1939-9138,USD,2995,
Critique: Studies in Contemporary Fiction,0011-1619,1939-9138,GBP,2295,
Critique: Studies in Contemporary Fiction,0011-1619,1939-9138,EUR,2650,
Cultural and Social History,1478-0038,1478-0046,USD,2995,
Cultural and Social History,1478-0038,1478-0046,GBP,2295,
Cultural and Social History,1478-0038,1478-0046,EUR,2650,
Cultural Studies,0950-2386,1466-4348,USD,3300,
Cultural Studies,0950-2386,1466-4348,GBP,2540,
Cultural Studies,0950-2386,1466-4348,EUR,2920,
Cultural Trends,0954-8963,1469-3690,USD,3300,
Cultural Trends,0954-8963,1469-3690,GBP,2540,
Cultural Trends,0954-8963,1469-3690,EUR,2920,
Culture and Education,1135-6405,1578-4118,USD,2995,
Culture and Education,1135-6405,1578-4118,GBP,2295,
Culture and Education,1135-6405,1578-4118,EUR,2650,
Culture and Organization,1475-9551,1477-2760,USD,2995,
Culture and Organization,1475-9551,1477-2760,GBP,2295,
Culture and Organization,1475-9551,1477-2760,EUR,2650,
"Culture, Health & Sexuality",1369-1058,1464-5351,USD,3500,
"Culture, Health & Sexuality",1369-1058,1464-5351,GBP,2690,
"Culture, Health & Sexuality",1369-1058,1464-5351,EUR,3095,
"Culture, Theory and Critique",1473-5784,1473-5776,USD,2500,
"Culture, Theory and Critique",1473-5784,1473-5776,GBP,1925,
"Culture, Theory and Critique",1473-5784,1473-5776,EUR,2210,
Current,0011-3131,0011-3131,USD,2995,
Current,0011-3131,0011-3131,GBP,2295,
Current,0011-3131,0011-3131,EUR,2650,
Current Eye Research,0271-3683,1460-2202,USD,3500,
Current Eye Research,0271-3683,1460-2202,GBP,2690,
Current Eye Research,0271-3683,1460-2202,EUR,3095,
Current Issues in Criminal Justice,1034-5329,2206-9542,USD,2995,
Current Issues in Criminal Justice,1034-5329,2206-9542,GBP,2295,
Current Issues in Criminal Justice,1034-5329,2206-9542,EUR,2650,
Current Issues in Language Planning,1466-4208,1747-7506,USD,2800,
Current Issues in Language Planning,1466-4208,1747-7506,GBP,2155,
Current Issues in Language Planning,1466-4208,1747-7506,EUR,2475,
Current Issues in Tourism,1368-3500,1747-7603,USD,3500,
Current Issues in Tourism,1368-3500,1747-7603,GBP,2690,
Current Issues in Tourism,1368-3500,1747-7603,EUR,3095,
Current Medical Research & Opinion,0300-7995,1473-4877,USD,4800,
Current Medical Research & Opinion,0300-7995,1473-4877,GBP,3690,
Current Medical Research & Opinion,0300-7995,1473-4877,EUR,4245,
Current Writing,1013-929X,2159-9130,USD,2800,
Current Writing,1013-929X,2159-9130,GBP,2155,
Current Writing,1013-929X,2159-9130,EUR,2475,
Curriculum Inquiry,0362-6784,1467-873X,USD,2995,
Curriculum Inquiry,0362-6784,1467-873X,GBP,2295,
Curriculum Inquiry,0362-6784,1467-873X,EUR,2650,
Curriculum Studies in Health and Physical Education,2574-2981,2574-299X,USD,2995,
Curriculum Studies in Health and Physical Education,2574-2981,2574-299X,GBP,2295,
Curriculum Studies in Health and Physical Education,2574-2981,2574-299X,EUR,2650,
Cutaneous and Ocular Toxicology,1556-9527,1556-9535,USD,2995,
Cutaneous and Ocular Toxicology,1556-9527,1556-9535,GBP,2295,
Cutaneous and Ocular Toxicology,1556-9527,1556-9535,EUR,2650,
Cybernetics and Systems,0196-9722,1087-6553,USD,2995,
Cybernetics and Systems,0196-9722,1087-6553,GBP,2295,
Cybernetics and Systems,0196-9722,1087-6553,EUR,2650,
CYTA - Journal of Food,1947-6337,1947-6345,USD,1500,
CYTA - Journal of Food,1947-6337,1947-6345,GBP,1155,
CYTA - Journal of Food,1947-6337,1947-6345,EUR,1320,
Dance Chronicle,0147-2526,1532-4257,USD,3300,
Dance Chronicle,0147-2526,1532-4257,GBP,2540,
Dance Chronicle,0147-2526,1532-4257,EUR,2920,
Dance Education in Practice,2373-4833,2373-4841,USD,3500,
Dance Education in Practice,2373-4833,2373-4841,GBP,2690,
Dance Education in Practice,2373-4833,2373-4841,EUR,3095,
de arte,0004-3389,2471-4100,USD,2500,
de arte,0004-3389,2471-4100,GBP,1925,
de arte,0004-3389,2471-4100,EUR,2210,
Deafness & Education International,1464-3154,1557-069X,USD,2995,
Deafness & Education International,1464-3154,1557-069X,GBP,2295,
Deafness & Education International,1464-3154,1557-069X,EUR,2650,
Death Studies,0748-1187,1091-7683,USD,2995,
Death Studies,0748-1187,1091-7683,GBP,2295,
Death Studies,0748-1187,1091-7683,EUR,2650,
Defence and Peace Economics,1024-2694,1476-8267,USD,2800,
Defence and Peace Economics,1024-2694,1476-8267,GBP,2155,
Defence and Peace Economics,1024-2694,1476-8267,EUR,2475,
Defence Studies,1470-2436,1743-9698,USD,2995,
Defence Studies,1470-2436,1743-9698,GBP,2295,
Defence Studies,1470-2436,1743-9698,EUR,2650,
Defense & Security Analysis,1475-1798,1475-1801,USD,2995,
Defense & Security Analysis,1475-1798,1475-1801,GBP,2295,
Defense & Security Analysis,1475-1798,1475-1801,EUR,2650,
Democracy and Security,1741-9166,1555-5860,USD,2995,
Democracy and Security,1741-9166,1555-5860,GBP,2295,
Democracy and Security,1741-9166,1555-5860,EUR,2650,
Democratization,1351-0347,1743-890X,USD,3300,
Democratization,1351-0347,1743-890X,GBP,2540,
Democratization,1351-0347,1743-890X,EUR,2920,
Design and Culture,1754-7075,1754-7083,USD,2995,
Design and Culture,1754-7075,1754-7083,GBP,2295,
Design and Culture,1754-7075,1754-7083,EUR,2650,
Design for Health,2473-5132,2473-5140,USD,2995,
Design for Health,2473-5132,2473-5140,GBP,2295,
Design for Health,2473-5132,2473-5140,EUR,2650,
Development in Practice,0961-4524,1364-9213,USD,2995,
Development in Practice,0961-4524,1364-9213,GBP,2295,
Development in Practice,0961-4524,1364-9213,EUR,2650,
Development Southern Africa,0376-835X,1470-3637,USD,2995,
Development Southern Africa,0376-835X,1470-3637,GBP,2295,
Development Southern Africa,0376-835X,1470-3637,EUR,2650,
Development Studies Research,n/a,2166-5095,USD,800,
Development Studies Research,n/a,2166-5095,GBP,615,
Development Studies Research,n/a,2166-5095,EUR,705,
Developmental Neuropsychology,8756-5641,1532-6942,USD,2995,
Developmental Neuropsychology,8756-5641,1532-6942,GBP,2295,
Developmental Neuropsychology,8756-5641,1532-6942,EUR,2650,
Developmental Neurorehabilitation,1751-8423,1751-8431,USD,2995,
Developmental Neurorehabilitation,1751-8423,1751-8431,GBP,2295,
Developmental Neurorehabilitation,1751-8423,1751-8431,EUR,2650,
Deviant Behavior,0163-9625,1521-0456,USD,3300,
Deviant Behavior,0163-9625,1521-0456,GBP,2540,
Deviant Behavior,0163-9625,1521-0456,EUR,2920,
Diaspora Studies,0973-9572,0976-3457,USD,2995,
Diaspora Studies,0973-9572,0976-3457,GBP,2295,
Diaspora Studies,0973-9572,0976-3457,EUR,2650,
"Diaspora, Indigenous, and Minority Education",1559-5692,1559-5706,USD,2995,
"Diaspora, Indigenous, and Minority Education",1559-5692,1559-5706,GBP,2295,
"Diaspora, Indigenous, and Minority Education",1559-5692,1559-5706,EUR,2650,
Diatom Research,0269-249X,2159-8347,USD,2995,
Diatom Research,0269-249X,2159-8347,GBP,2295,
Diatom Research,0269-249X,2159-8347,EUR,2650,
Digital Creativity,1462-6268,1744-3806,USD,2995,
Digital Creativity,1462-6268,1744-3806,GBP,2295,
Digital Creativity,1462-6268,1744-3806,EUR,2650,
Digital Journalism,2167-0811,2167-082X,USD,2995,
Digital Journalism,2167-0811,2167-082X,GBP,2295,
Digital Journalism,2167-0811,2167-082X,EUR,2650,
Diplomacy & Statecraft,0959-2296,1557-301X,USD,2995,
Diplomacy & Statecraft,0959-2296,1557-301X,GBP,2295,
Diplomacy & Statecraft,0959-2296,1557-301X,EUR,2650,
Disability & Society,0968-7599,1360-0508,USD,3500,
Disability & Society,0968-7599,1360-0508,GBP,2690,
Disability & Society,0968-7599,1360-0508,EUR,3095,
Disability and Rehabilitation,0963-8288,1464-5165,USD,3500,
Disability and Rehabilitation,0963-8288,1464-5165,GBP,2690,
Disability and Rehabilitation,0963-8288,1464-5165,EUR,3095,
Disability and Rehabilitation: Assistive Technology,1748-3107,1748-3115,USD,2995,
Disability and Rehabilitation: Assistive Technology,1748-3107,1748-3115,GBP,2295,
Disability and Rehabilitation: Assistive Technology,1748-3107,1748-3115,EUR,2650,
Discourse Processes,0163-853X,1532-6950,USD,2995,
Discourse Processes,0163-853X,1532-6950,GBP,2295,
Discourse Processes,0163-853X,1532-6950,EUR,2650,
Discourse: Studies in the Cultural Politics of Education,0159-6306,1469-3739,USD,3500,
Discourse: Studies in the Cultural Politics of Education,0159-6306,1469-3739,GBP,2690,
Discourse: Studies in the Cultural Politics of Education,0159-6306,1469-3739,EUR,3095,
disP - The Planning Review,0251-3625,2166-8604,USD,2995,
disP - The Planning Review,0251-3625,2166-8604,GBP,2295,
disP - The Planning Review,0251-3625,2166-8604,EUR,2650,
Distance Education,0158-7919,1475-0198,USD,2800,
Distance Education,0158-7919,1475-0198,GBP,2155,
Distance Education,0158-7919,1475-0198,EUR,2475,
Distinktion: Journal of Social Theory,1600-910X,2159-9149,USD,2995,
Distinktion: Journal of Social Theory,1600-910X,2159-9149,GBP,2295,
Distinktion: Journal of Social Theory,1600-910X,2159-9149,EUR,2650,
Dix-Neuf,n/a,1478-7318,USD,2995,
Dix-Neuf,n/a,1478-7318,GBP,2295,
Dix-Neuf,n/a,1478-7318,EUR,2650,
Dress,0361-2112,2042-1729,USD,2995,
Dress,0361-2112,2042-1729,GBP,2295,
Dress,0361-2112,2042-1729,EUR,2650,
Drug and Chemical Toxicology,0148-0545,1525-6014,USD,3500,
Drug and Chemical Toxicology,0148-0545,1525-6014,GBP,2690,
Drug and Chemical Toxicology,0148-0545,1525-6014,EUR,3095,
Drug Delivery,1071-7544,1521-0464,USD,2500,
Drug Delivery,1071-7544,1521-0464,GBP,1925,
Drug Delivery,1071-7544,1521-0464,EUR,2200,
Drug Development and Industrial Pharmacy,0363-9045,1520-5762,USD,3500,
Drug Development and Industrial Pharmacy,0363-9045,1520-5762,GBP,2690,
Drug Development and Industrial Pharmacy,0363-9045,1520-5762,EUR,3095,
Drug Metabolism Reviews,0360-2532,1097-9883,USD,3900,
Drug Metabolism Reviews,0360-2532,1097-9883,GBP,3000,
Drug Metabolism Reviews,0360-2532,1097-9883,EUR,3450,
"Drugs: Education, Prevention & Policy",0968-7637,1465-3370,USD,3500,
"Drugs: Education, Prevention & Policy",0968-7637,1465-3370,GBP,2690,
"Drugs: Education, Prevention & Policy",0968-7637,1465-3370,EUR,3095,
Drying Technology,0737-3937,1532-2300,USD,3500,
Drying Technology,0737-3937,1532-2300,GBP,2690,
Drying Technology,0737-3937,1532-2300,EUR,3095,
Dutch Crossing,0309-6564,1759-7854,USD,2995,
Dutch Crossing,0309-6564,1759-7854,GBP,2295,
Dutch Crossing,0309-6564,1759-7854,EUR,2650,
Dynamical Systems,1468-9367,1468-9375,USD,2800,
Dynamical Systems,1468-9367,1468-9375,GBP,2155,
Dynamical Systems,1468-9367,1468-9375,EUR,2475,
Dynamics of Asymmetric Conflict,1746-7586,1746-7594,USD,2995,
Dynamics of Asymmetric Conflict,1746-7586,1746-7594,GBP,2295,
Dynamics of Asymmetric Conflict,1746-7586,1746-7594,EUR,2650,
Early Child Development and Care,0300-4430,1476-8275,USD,2995,
Early Child Development and Care,0300-4430,1476-8275,GBP,2295,
Early Child Development and Care,0300-4430,1476-8275,EUR,2650,
Early Education and Development,1040-9289,1556-6935,USD,2995,
Early Education and Development,1040-9289,1556-6935,GBP,2295,
Early Education and Development,1040-9289,1556-6935,EUR,2650,
Early Medieval China,1529-9104,1946-7842,USD,2995,
Early Medieval China,1529-9104,1946-7842,GBP,2295,
Early Medieval China,1529-9104,1946-7842,EUR,2650,
Early Modern French Studies,2056-3035,2056-3043,USD,2995,
Early Modern French Studies,2056-3035,2056-3043,GBP,2295,
Early Modern French Studies,2056-3035,2056-3043,EUR,2650,
Early Popular Visual Culture,1746-0654,1746-0662,USD,2995,
Early Popular Visual Culture,1746-0654,1746-0662,GBP,2295,
Early Popular Visual Culture,1746-0654,1746-0662,EUR,2650,
Early Years,0957-5146,1472-4421,USD,2995,
Early Years,0957-5146,1472-4421,GBP,2295,
Early Years,0957-5146,1472-4421,EUR,2650,
"East Asian Science, Technology and Society: An International Journal",1875-2160,1875-2152,USD,2995,
"East Asian Science, Technology and Society: An International Journal",1875-2160,1875-2152,GBP,2295,
"East Asian Science, Technology and Society: An International Journal",1875-2160,1875-2152,EUR,2650,
East European Jewish Affairs,1350-1674,1743-971X,USD,2995,
East European Jewish Affairs,1350-1674,1743-971X,GBP,2295,
East European Jewish Affairs,1350-1674,1743-971X,EUR,2650,
East European Politics,2159-9165,2159-9173,USD,2995,
East European Politics,2159-9165,2159-9173,GBP,2295,
East European Politics,2159-9165,2159-9173,EUR,2650,
Eastern African Literary and Cultural Studies,2327-7408,2327-7416,USD,2995,
Eastern African Literary and Cultural Studies,2327-7408,2327-7416,GBP,2295,
Eastern African Literary and Cultural Studies,2327-7408,2327-7416,EUR,2650,
Eastern European Economics,0012-8775,1557-9298,GBP,2155,
Eastern European Economics,0012-8775,1557-9298,EUR,2475,
Eastern European Economics,0012-8775,1557-9298,USD,2800,
Eating Disorders,1064-0266,1532-530X,USD,2995,
Eating Disorders,1064-0266,1532-530X,GBP,2295,
Eating Disorders,1064-0266,1532-530X,EUR,2650,
Ecological Psychology,1040-7413,1532-6969,USD,2995,
Ecological Psychology,1040-7413,1532-6969,GBP,2295,
Ecological Psychology,1040-7413,1532-6969,EUR,2650,
Ecology of Food & Nutrition,0367-0244,1543-5237,USD,2995,
Ecology of Food & Nutrition,0367-0244,1543-5237,GBP,2295,
Ecology of Food & Nutrition,0367-0244,1543-5237,EUR,2650,
Econometric Reviews,0747-4938,1532-4168,USD,2995,
Econometric Reviews,0747-4938,1532-4168,GBP,2295,
Econometric Reviews,0747-4938,1532-4168,EUR,2650,
Economic and Political Studies,2095-4816,2470-4024,USD,2995,
Economic and Political Studies,2095-4816,2470-4024,GBP,2295,
Economic and Political Studies,2095-4816,2470-4024,EUR,2650,
Economic Geography,0013-0095,1944-8287,USD,3300,
Economic Geography,0013-0095,1944-8287,GBP,2540,
Economic Geography,0013-0095,1944-8287,EUR,2920,
Economic History of Developing Regions,2078-0389,2078-0397,USD,2995,
Economic History of Developing Regions,2078-0389,2078-0397,GBP,2295,
Economic History of Developing Regions,2078-0389,2078-0397,EUR,2650,
Economic Research - Ekonomska Istrazivanja,1331-677X,1848-9664,USD,1000,
Economic Research - Ekonomska Istrazivanja,1331-677X,1848-9664,GBP,770,
Economic Research - Ekonomska Istrazivanja,1331-677X,1848-9664,EUR,880,
Economic Systems Research,0953-5314,1469-5758,USD,3500,
Economic Systems Research,0953-5314,1469-5758,GBP,2690,
Economic Systems Research,0953-5314,1469-5758,EUR,3095,
Economics of Innovation and New Technology,1043-8599,1476-8364,USD,2800,
Economics of Innovation and New Technology,1043-8599,1476-8364,GBP,2155,
Economics of Innovation and New Technology,1043-8599,1476-8364,EUR,2475,
Economy and Society,0308-5147,1469-5766,USD,3500,
Economy and Society,0308-5147,1469-5766,GBP,2690,
Economy and Society,0308-5147,1469-5766,EUR,3095,
Ecoscience,1195-6860,2376-7626,USD,2995,
Ecoscience,1195-6860,2376-7626,GBP,2295,
Ecoscience,1195-6860,2376-7626,EUR,2650,
Ecosystem Health and Sustainability,2096-4129,2332-8878,USD,1500,
Ecosystem Health and Sustainability,2096-4129,2332-8878,GBP,1155,
Ecosystem Health and Sustainability,2096-4129,2332-8878,EUR,1325,
Ecosystems and People,n/a,2639-5916,USD,1200,
Ecosystems and People,n/a,2639-5916,GBP,925,
Ecosystems and People,n/a,2639-5916,EUR,1055,
EDPACS,0736-6981,1936-1009,USD,2800,
EDPACS,0736-6981,1936-1009,GBP,2155,
EDPACS,0736-6981,1936-1009,EUR,2475,
Education 3-13,0300-4279,1475-7575,USD,2995,
Education 3-13,0300-4279,1475-7575,GBP,2295,
Education 3-13,0300-4279,1475-7575,EUR,2650,
Education Economics,0964-5292,1469-5782,USD,2995,
Education Economics,0964-5292,1469-5782,GBP,2295,
Education Economics,0964-5292,1469-5782,EUR,2650,
Education Inquiry,n/a,2000-4508,USD,0,
Education Inquiry,n/a,2000-4508,GBP,0,
Education Inquiry,n/a,2000-4508,EUR,0,
Educational Assessment,1062-7197,1532-6977,USD,2995,
Educational Assessment,1062-7197,1532-6977,GBP,2295,
Educational Assessment,1062-7197,1532-6977,EUR,2650,
Educational Gerontology,0360-1277,1521-0472,USD,2995,
Educational Gerontology,0360-1277,1521-0472,GBP,2295,
Educational Gerontology,0360-1277,1521-0472,EUR,2650,
Educational Media International,0952-3987,1469-5790,USD,2995,
Educational Media International,0952-3987,1469-5790,GBP,2295,
Educational Media International,0952-3987,1469-5790,EUR,2650,
Educational Philosophy and Theory,0013-1857,1469-5812,USD,2995,
Educational Philosophy and Theory,0013-1857,1469-5812,GBP,2295,
Educational Philosophy and Theory,0013-1857,1469-5812,EUR,2650,
Educational Psychologist,0046-1520,1532-6985,USD,2800,
Educational Psychologist,0046-1520,1532-6985,GBP,2155,
Educational Psychologist,0046-1520,1532-6985,EUR,2475,
Educational Psychology,0144-3410,1469-5820,USD,3500,
Educational Psychology,0144-3410,1469-5820,GBP,2690,
Educational Psychology,0144-3410,1469-5820,EUR,3095,
Educational Psychology in Practice,0266-7363,1469-5839,USD,2995,
Educational Psychology in Practice,0266-7363,1469-5839,GBP,2295,
Educational Psychology in Practice,0266-7363,1469-5839,EUR,2650,
Educational Research,0013-1881,1469-5847,USD,2995,
Educational Research,0013-1881,1469-5847,GBP,2295,
Educational Research,0013-1881,1469-5847,EUR,2650,
Educational Research & Evaluation,1380-3611,1744-4187,USD,2995,
Educational Research & Evaluation,1380-3611,1744-4187,GBP,2295,
Educational Research & Evaluation,1380-3611,1744-4187,EUR,2650,
Educational Review,0013-1911,1465-3397,USD,2800,
Educational Review,0013-1911,1465-3397,GBP,2155,
Educational Review,0013-1911,1465-3397,EUR,2475,
Educational Studies,0013-1946,1532-6993,USD,2995,
Educational Studies,0013-1946,1532-6993,GBP,2295,
Educational Studies,0013-1946,1532-6993,EUR,2650,
Educational Studies,0305-5698,1465-3400,USD,2995,
Educational Studies,0305-5698,1465-3400,GBP,2295,
Educational Studies,0305-5698,1465-3400,EUR,2650,
Electric Power Components & Systems,1532-5008,1532-5016,USD,2500,
Electric Power Components & Systems,1532-5008,1532-5016,GBP,1925,
Electric Power Components & Systems,1532-5008,1532-5016,EUR,2210,
Electromagnetic Biology and Medicine,1536-8378,1536-8386,USD,3500,
Electromagnetic Biology and Medicine,1536-8378,1536-8386,GBP,2690,
Electromagnetic Biology and Medicine,1536-8378,1536-8386,EUR,3095,
Electromagnetics,0272-6343,1532-527X,USD,2500,
Electromagnetics,0272-6343,1532-527X,GBP,1925,
Electromagnetics,0272-6343,1532-527X,EUR,2210,
Emerging Markets Finance and Trade,1540-496X,1558-0938,USD,2995,
Emerging Markets Finance and Trade,1540-496X,1558-0938,GBP,2295,
Emerging Markets Finance and Trade,1540-496X,1558-0938,EUR,2650,
Emerging Microbes & Infections,n/a,2222-1751,USD,2800,
Emerging Microbes & Infections,n/a,2222-1751,GBP,2155,
Emerging Microbes & Infections,n/a,2222-1751,EUR,2475,
Emotional and Behavioural Difficulties,1363-2752,1741-2692,USD,2800,
Emotional and Behavioural Difficulties,1363-2752,1741-2692,GBP,2155,
Emotional and Behavioural Difficulties,1363-2752,1741-2692,EUR,2475,
Emu - Austral Ornithology,0158-4197,1448-5540,USD,2995,
Emu - Austral Ornithology,0158-4197,1448-5540,GBP,2295,
Emu - Austral Ornithology,0158-4197,1448-5540,EUR,2650,
Endocrine Research,0743-5800,1532-4206,USD,3300,
Endocrine Research,0743-5800,1532-4206,GBP,2540,
Endocrine Research,0743-5800,1532-4206,EUR,2920,
"Energy Sources, Part B",1556-7249,1556-7257,USD,2995,
"Energy Sources, Part B",1556-7249,1556-7257,GBP,2295,
"Energy Sources, Part B",1556-7249,1556-7257,EUR,2650,
Engineering Management Journal,1042-9247,2377-0643,USD,2995,
Engineering Management Journal,1042-9247,2377-0643,GBP,2295,
Engineering Management Journal,1042-9247,2377-0643,EUR,2650,
Engineering Optimization,0305-215X,1029-0273,USD,2800,
Engineering Optimization,0305-215X,1029-0273,GBP,2155,
Engineering Optimization,0305-215X,1029-0273,EUR,2475,
Engineering Studies,1937-8629,1940-8374,USD,3300,
Engineering Studies,1937-8629,1940-8374,GBP,2540,
Engineering Studies,1937-8629,1940-8374,EUR,2920,
English Academy Review,1013-1752,1753-5360,USD,2800,
English Academy Review,1013-1752,1753-5360,GBP,2155,
English Academy Review,1013-1752,1753-5360,EUR,2475,
English in Education,0425-0494,1754-8845,USD,2995,
English in Education,0425-0494,1754-8845,GBP,2295,
English in Education,0425-0494,1754-8845,EUR,2650,
English Studies,0013-838X,1744-4217,USD,2995,
English Studies,0013-838X,1744-4217,GBP,2295,
English Studies,0013-838X,1744-4217,EUR,2650,
English Studies in Africa,0013-8398,1943-8117,USD,2995,
English Studies in Africa,0013-8398,1943-8117,GBP,2295,
English Studies in Africa,0013-8398,1943-8117,EUR,2650,
Enterprise Information Systems,1751-7575,1751-7583,USD,2800,
Enterprise Information Systems,1751-7575,1751-7583,GBP,2155,
Enterprise Information Systems,1751-7575,1751-7583,EUR,2475,
Entrepreneurship & Regional Development,0898-5626,1464-5114,USD,2995,
Entrepreneurship & Regional Development,0898-5626,1464-5114,GBP,2295,
Entrepreneurship & Regional Development,0898-5626,1464-5114,EUR,2650,
Environment: Science and Policy for Sustainable Development,0013-9157,1939-9154,USD,2995,
Environment: Science and Policy for Sustainable Development,0013-9157,1939-9154,GBP,2295,
Environment: Science and Policy for Sustainable Development,0013-9157,1939-9154,EUR,2650,
Environmental Archaeology,1461-4103,1749-6314,USD,2800,
Environmental Archaeology,1461-4103,1749-6314,GBP,2155,
Environmental Archaeology,1461-4103,1749-6314,EUR,2475,
Environmental Claims Journal,1040-6026,1547-657X,USD,2995,
Environmental Claims Journal,1040-6026,1547-657X,GBP,2295,
Environmental Claims Journal,1040-6026,1547-657X,EUR,2650,
Environmental Communication,1752-4032,1752-4040,USD,3300,
Environmental Communication,1752-4032,1752-4040,GBP,2540,
Environmental Communication,1752-4032,1752-4040,EUR,2920,
Environmental Education Research,1350-4622,1469-5871,USD,3500,
Environmental Education Research,1350-4622,1469-5871,GBP,2690,
Environmental Education Research,1350-4622,1469-5871,EUR,3095,
Environmental Forensics,1527-5922,1527-5930,USD,3300,
Environmental Forensics,1527-5922,1527-5930,GBP,2540,
Environmental Forensics,1527-5922,1527-5930,EUR,2920,
Environmental Hazards,1747-7891,1878-0059,USD,2995,
Environmental Hazards,1747-7891,1878-0059,GBP,2295,
Environmental Hazards,1747-7891,1878-0059,EUR,2650,
Environmental Politics,0964-4016,1743-8934,USD,3500,
Environmental Politics,0964-4016,1743-8934,GBP,2690,
Environmental Politics,0964-4016,1743-8934,EUR,3095,
Environmental Pollutants and Bioavailability,n/a,2639-5940,USD,1200,
Environmental Pollutants and Bioavailability,n/a,2639-5940,GBP,925,
Environmental Pollutants and Bioavailability,n/a,2639-5940,EUR,1060,
Environmental Sociology,n/a,2325-1042,USD,2995,
Environmental Sociology,n/a,2325-1042,GBP,2295,
Environmental Sociology,n/a,2325-1042,EUR,2650,
Environmental Technology,0959-3330,1479-487X,USD,2995,
Environmental Technology,0959-3330,1479-487X,GBP,2295,
Environmental Technology,0959-3330,1479-487X,EUR,2650,
Environmental Technology Reviews,2162-2515,2162-2523,USD,2995,
Environmental Technology Reviews,2162-2515,2162-2523,GBP,2295,
Environmental Technology Reviews,2162-2515,2162-2523,EUR,2650,
EPE Journal,0939-8368,2376-9319,USD,2500,
EPE Journal,0939-8368,2376-9319,GBP,1925,
EPE Journal,0939-8368,2376-9319,EUR,2210,
Epigenetics,1559-2294,1559-2308,USD,3500,
Epigenetics,1559-2294,1559-2308,GBP,2690,
Epigenetics,1559-2294,1559-2308,EUR,3095,
Equity & Excellence in Education,1066-5684,1547-3457,USD,2995,
Equity & Excellence in Education,1066-5684,1547-3457,GBP,2295,
Equity & Excellence in Education,1066-5684,1547-3457,EUR,2650,
Ergonomics,0014-0139,1366-5847,USD,2800,
Ergonomics,0014-0139,1366-5847,GBP,2155,
Ergonomics,0014-0139,1366-5847,EUR,2475,
Ethics & Behavior,1050-8422,1532-7019,USD,2995,
Ethics & Behavior,1050-8422,1532-7019,GBP,2295,
Ethics & Behavior,1050-8422,1532-7019,EUR,2650,
Ethics & Social Welfare,1749-6535,1749-6543,USD,2995,
Ethics & Social Welfare,1749-6535,1749-6543,GBP,2295,
Ethics & Social Welfare,1749-6535,1749-6543,EUR,2650,
Ethics and Education,1744-9642,1744-9650,USD,2995,
Ethics and Education,1744-9642,1744-9650,GBP,2295,
Ethics and Education,1744-9642,1744-9650,EUR,2650,
"Ethics, Policy & Environment",2155-0085,2155-0093,GBP,2295,
"Ethics, Policy & Environment",2155-0085,2155-0093,EUR,2650,
"Ethics, Policy & Environment",2155-0085,2155-0093,USD,2995,
Ethnic and Racial Studies,0141-9870,1466-4356,USD,3500,
Ethnic and Racial Studies,0141-9870,1466-4356,GBP,2690,
Ethnic and Racial Studies,0141-9870,1466-4356,EUR,3095,
Ethnicity & Health,1355-7858,1465-3419,USD,3500,
Ethnicity & Health,1355-7858,1465-3419,GBP,2690,
Ethnicity & Health,1355-7858,1465-3419,EUR,3095,
Ethnoarchaeology,1944-2890,1944-2904,USD,2995,
Ethnoarchaeology,1944-2890,1944-2904,GBP,2295,
Ethnoarchaeology,1944-2890,1944-2904,EUR,2650,
Ethnography and Education,1745-7823,1745-7831,USD,2995,
Ethnography and Education,1745-7823,1745-7831,GBP,2295,
Ethnography and Education,1745-7823,1745-7831,EUR,2650,
Ethnomusicology Forum,1741-1912,1741-1920,USD,3300,
Ethnomusicology Forum,1741-1912,1741-1920,GBP,2540,
Ethnomusicology Forum,1741-1912,1741-1920,EUR,2920,
Ethnopolitics,1744-9057,1744-9065,USD,2995,
Ethnopolitics,1744-9057,1744-9065,GBP,2295,
Ethnopolitics,1744-9057,1744-9065,EUR,2650,
Ethnos,0014-1844,1469-588X,USD,2995,
Ethnos,0014-1844,1469-588X,GBP,2295,
Ethnos,0014-1844,1469-588X,EUR,2650,
Ethology Ecology & Evolution,0394-9370,1828-7131,USD,2995,
Ethology Ecology & Evolution,0394-9370,1828-7131,GBP,2295,
Ethology Ecology & Evolution,0394-9370,1828-7131,EUR,2650,
Eurasian Geography and Economics,1538-7216,1938-2863,USD,3300,
Eurasian Geography and Economics,1538-7216,1938-2863,GBP,2540,
Eurasian Geography and Economics,1538-7216,1938-2863,EUR,2920,
Europe-Asia Studies,0966-8136,1465-3427,USD,2995,
Europe-Asia Studies,0966-8136,1465-3427,GBP,2295,
Europe-Asia Studies,0966-8136,1465-3427,EUR,2650,
European Clinical Respiratory Journal,n/a,2001-8525,USD,1950,
European Clinical Respiratory Journal,n/a,2001-8525,GBP,1500,
European Clinical Respiratory Journal,n/a,2001-8525,EUR,1715,
European Competition Journal,1744-1056,1757-8396,USD,2995,
European Competition Journal,1744-1056,1757-8396,GBP,2295,
European Competition Journal,1744-1056,1757-8396,EUR,2650,
European Early Childhood Education Research Journal,1350-293X,1752-1807,USD,2995,
European Early Childhood Education Research Journal,1350-293X,1752-1807,GBP,2295,
