issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044-8136,The Journal of corporate accounting & finance,,https://onlinelibrary.wiley.com/page/journal/10970053/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10970053/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10970053,,,,,,,,,https://www.wikidata.org/wiki/Q59556427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-9297,Current protocols in cytometry,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27721911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0884-0431,Journal of bone and mineral research,,https://asbmr.onlinelibrary.wiley.com/hub/journal/15234681/homepage/forauthors,https://asbmr.onlinelibrary.wiley.com/hub/journal/15234681/homepage/editorialboard,,https://asbmr.onlinelibrary.wiley.com/journal/15234681,,American Society for Bone and Mineral Research,,,http://www.asbmr.org/,,,,https://www.wikidata.org/wiki/Q15750941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530-261X,Atmospheric science letters,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15754458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530-9991,Banks in insurance report,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96706967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009-4536,Journal of the Chinese Chemical Society,,https://onlinelibrary.wiley.com/page/journal/21926549/homepage/2600_forauthors.html,https://onlinelibrary.wiley.com/page/journal/21926549/homepage/2600_edbd.html,,https://onlinelibrary.wiley.com/journal/21926549,,The Chemical Society Located in Taipei,,,http://chemistry.org.tw/,,,https://twitter.com/ccschemistry,https://www.wikidata.org/wiki/Q15752970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0233-111X,Journal of basic microbiology,,https://onlinelibrary.wiley.com/page/journal/15214028/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15214028/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15214028,,,,,,,,,https://www.wikidata.org/wiki/Q6294827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0141-8955,Journal of inherited metabolic disease,,,https://onlinelibrary.wiley.com/page/journal/15732665/homepage/editorial-board,,https://onlinelibrary.wiley.com/journal/15732665,,,,,,,,,https://www.wikidata.org/wiki/Q6295359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052-6113,Veterinary record open,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27726627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278-4491,Environmental progress,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15754637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476-1508,Internet technology letters,,https://onlinelibrary.wiley.com/page/journal/24761508/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/24761508/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/24761508,,,,,,,,,https://www.wikidata.org/wiki/Q59554183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432-2404,Sensors update,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96730449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350-4827,Meteorological applications,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15756977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049-8931,International journal of methods in psychiatric research,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15752770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449-2978,Journal of polymer science,,,,,,,,,,,,,https://twitter.com/jpolymsci?lang=en,https://www.wikidata.org/wiki/Q2411132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021-9754,The Journal of clinical pharmacology and new drugs,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27711446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045-2257,"Genes, chromosomes & cancer",,https://onlinelibrary.wiley.com/page/journal/10982264/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10982264/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10982264,,,,,,,,,https://www.wikidata.org/wiki/Q5532697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626-1294,PhotonicsViews,,https://onlinelibrary.wiley.com/pb-assets/assets/26261308/author_guidelines-1605537416380.pdf,,,https://onlinelibrary.wiley.com/journal/26261308,,,,,,,,https://twitter.com/photonicviews,https://www.wikidata.org/wiki/Q96725822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539-1604,Pharmaceutical statistics,,,https://onlinelibrary.wiley.com/page/journal/15391612/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15391612,,,,,,,,,https://www.wikidata.org/wiki/Q7180744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0095-9898,Journal of cellular and comparative physiology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27720153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043-3074,Head & neck,,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10970347,,International Academy of Oral Oncology,International Federation of Head and Neck Oncologic Societies,,http://www.iaoo.pro/en/,http://www.ifhnos.org/,,,https://www.wikidata.org/wiki/Q13703062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-3430,Current protocols essential laboratory techniques,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27727318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528-0691,The chemical record,,https://onlinelibrary.wiley.com/page/journal/15280691/homepage/2920_forauthors.html,https://onlinelibrary.wiley.com/page/journal/15280691/homepage/2920_edbd.html,,https://onlinelibrary.wiley.com/journal/15280691,,The Chemical Society of Japan,,,http://www.chemistry.or.jp/,,,,https://www.wikidata.org/wiki/Q3520251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-9254,Current protocols in toxicology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q26854015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098-2388,Seminars in surgical oncology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-1518,Forschung,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2695742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445-5781,Reproductive medicine and biology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15762965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0362-4803,Journal of labelled compounds & radiopharmaceuticals,,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/10991344/homepage/forauthors.html,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/10991344/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991344,,International Isotope Society,,,http://www.intl-isotope-soc.org/,,,,https://www.wikidata.org/wiki/Q3186923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0894-3230,Journal of physical organic chemistry,,https://onlinelibrary.wiley.com/page/journal/10991395/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991395/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991395,,,,,,,,,https://www.wikidata.org/wiki/Q3186935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0944-5846,CHEMKON,"CHEMKON - CHEMIE KONKRET, FORUM FUER  UNTERRICHT UND DIDAKTIK",,,,https://onlinelibrary.wiley.com/journal/15213730,,German Chemists,,,http://www.gdch.de/,,,,https://www.wikidata.org/wiki/Q59556402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352-8729,Alzheimer's & dementia,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27726390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612-8931,Risknews,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96725829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0271-0633,New directions for teaching and learning,,https://onlinelibrary.wiley.com/page/journal/15360768/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15360768/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15360768,,,,,,,,,https://www.wikidata.org/wiki/Q15751603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045-4861,Journal of applied biomaterials,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27709867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-8451,Developmental neurobiology,,https://onlinelibrary.wiley.com/page/journal/1932846x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1932846x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1932846X,,,,,,,,,https://www.wikidata.org/wiki/Q15716734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0377-0486,Journal of Raman spectroscopy,,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/10974555/homepage/forauthors.html,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/10974555/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10974555,,,,,,,,,https://www.wikidata.org/wiki/Q2404161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-9185,Performance and instruction journal,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96724687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0265-9247,BioEssays,,https://onlinelibrary.wiley.com/page/journal/15211878/homepage/2487_for_authors.html,https://onlinelibrary.wiley.com/page/journal/15211878/homepage/2487_edbd.html,,https://onlinelibrary.wiley.com/journal/15211878,https://www.linkedin.com/in/bioessays-journal-a292aa50/?locale=en_US,EpiGeneSys,,,http://www.epigenesys.eu/,,,,https://www.wikidata.org/wiki/Q4914614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0264-3421,Journal of chemical technology and biotechnology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q29043770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199-160X,Advanced electronic materials,,,https://onlinelibrary.wiley.com/page/journal/2199160x/homepage/2707_edbd.html,,https://onlinelibrary.wiley.com/journal/2199160X,,,,,,,,,https://www.wikidata.org/wiki/Q59554125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-9772,Anatomical sciences education,,https://anatomypubs.onlinelibrary.wiley.com/hub/journal/19359780/homepage/forauthors.html,https://anatomypubs.onlinelibrary.wiley.com/hub/journal/19359780/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19359780,,,,,,,,,https://www.wikidata.org/wiki/Q15749417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044-2313,Zeitschrift für anorganische und allgemeine Chemie,,https://onlinelibrary.wiley.com/page/journal/15213749/homepage/2260_forauthors.html,https://onlinelibrary.wiley.com/page/journal/15213749/homepage/2260_edbd.html,,https://onlinelibrary.wiley.com/journal/15213749,,,,,,,,,https://www.wikidata.org/wiki/Q29043992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082-5010,Mechanics of cohesive-frictional materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278-0232,Hematological oncology,,https://onlinelibrary.wiley.com/page/journal/10991069/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991069/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991069,,,,,,,,,https://www.wikidata.org/wiki/Q15762617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0954-0350,Journal of the British Association of Psychotherapists,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96736767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867-3880,ChemCatChem,,https://chemistry-europe.onlinelibrary.wiley.com/hub/journal/18673899/author-guidelines,https://chemistry-europe.onlinelibrary.wiley.com/hub/journal/18673899/editorial-board,,https://chemistry-europe.onlinelibrary.wiley.com/journal/18673899,,,,,,,,https://twitter.com/chemcatchem,https://www.wikidata.org/wiki/Q2944317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521-6543,IUBMB life,,,https://iubmb.onlinelibrary.wiley.com/hub/journal/15216551/editorial-board.html,,https://iubmb.onlinelibrary.wiley.com/journal/15216551,,,,,,,,,https://www.wikidata.org/wiki/Q15764029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003-150X,Journal of the American Water Works Association,,https://awwa.onlinelibrary.wiley.com/hub/journal/15518833/authorguidelines,,,https://onlinelibrary.wiley.com/journal/15518833,,,,,,,,,https://www.wikidata.org/wiki/Q15751975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-3396,Current protocols in bioinformatics,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q26842707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690-3857,SPE polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374-3832,"Crop, forage & turfgrass management",,https://www.agronomy.org/publications/journals/author-resources,https://acsess.onlinelibrary.wiley.com/journal/23743832/editorial-board/editorial-board,,https://onlinelibrary.wiley.com/journal/23743832,,ASA,CSSA,,https://www.agronomy.org/,https://www.crops.org/,,https://twitter.com/cropforageturf?lang=en,https://www.wikidata.org/wiki/Q96332160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0271-6585,Cell motility,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27710316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031-613X,Pesticide science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0164-7970,New directions for student services,,https://onlinelibrary.wiley.com/page/journal/15360695/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15360695/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15360695,,,,,,,,,https://www.wikidata.org/wiki/Q59556360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0271-0579,New directions for institutional research,,https://onlinelibrary.wiley.com/page/journal/1536075x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1536075x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1536075X,,Association for Institutional Research,,,http://www.airweb.org/,,,,https://www.wikidata.org/wiki/Q53972082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059-1594,Continuing cardiology education,,,,https://www.facebook.com/Continuing-Cardiology-Education-Journal-CCE-1835413763395199/,,,,,,,,,,https://www.wikidata.org/wiki/Q96703080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012-9615,Ecological monographs,,,https://esajournals.onlinelibrary.wiley.com/hub/journal/15577015/editorial-board/editorial-board,,https://esajournals.onlinelibrary.wiley.com/journal/15577015,,,,,,,,https://twitter.com/esamonographs?lang=en,https://www.wikidata.org/wiki/Q3047085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056-3744,Evolution letters,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q50815340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531-5428,Nonprofit business advisor,,,,,https://onlinelibrary.wiley.com/journal/19493193,,,,,,,,,https://www.wikidata.org/wiki/Q59556517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047-9627,International journal of digital and analog communication systems,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15754248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071-0922,Journal of the Society for Information Display,,https://onlinelibrary.wiley.com/page/journal/19383657/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/19383657/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19383657,,Society for Information Display,,,http://sid.org/Login.aspx,,,,https://www.wikidata.org/wiki/Q2863196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523-5416,Nontraditional students report,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96719536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0341-5163,"Nachrichten aus Chemie, Technik und Laboratorium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0954-0075,Lubrication science,,https://onlinelibrary.wiley.com/page/journal/15576833/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15576833/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15576833,,,,,,,,https://twitter.com/lubescience,https://www.wikidata.org/wiki/Q15816438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0092-7015,The Journal of comparative neurology and psychology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q51387991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-9270,Current protocols in nucleic acid chemistry,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q26867044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0260-437X,Journal of applied toxicology,,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/10991263/homepage/forauthors.html,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/10991263/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991263,,,,,,,,,https://www.wikidata.org/wiki/Q3186896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-4049,Geo,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27726217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044-8004,Human resource development quarterly,,https://onlinelibrary.wiley.com/page/journal/15321096/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15321096/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15321096,,,,,,,,,https://www.wikidata.org/wiki/Q15758787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692-3823,Climate and energy,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q71916244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862-832X,Macromolecular reaction engineering,,https://onlinelibrary.wiley.com/page/journal/18628338/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/18628338/homepage/2465_edbd.html,,https://onlinelibrary.wiley.com/journal/18628338,,,,,,,,,https://www.wikidata.org/wiki/Q3274925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0883-8534,Journal of multicultural counseling and development,,https://onlinelibrary.wiley.com/page/journal/21611912/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/21611912/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/21611912,,American Counseling Association,,,http://www.counseling.org/,,,,https://www.wikidata.org/wiki/Q6295603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045-8827,MicrobiologyOpen,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27724394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688-268X,View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163-0097,Clinical advances in periodontics,,https://aap.onlinelibrary.wiley.com/hub/journal/21630097/homepage/forauthors.html,https://aap.onlinelibrary.wiley.com/hub/journal/21630097/homepage/editorialboard.html,,https://aap.onlinelibrary.wiley.com/journal/21630097,,American Academy of Periodontology,,,https://www.perio.org/,,,,https://www.wikidata.org/wiki/Q63871857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547-8335,Mergent's dividend achievers,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96729534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615-9853,Proteomics,,,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/16159861/homepage/2120_edbd.html,,https://onlinelibrary.wiley.com/journal/16159861,,,,,,,,,https://www.wikidata.org/wiki/Q15614164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-005X,Wiley interdisciplinary reviews,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q26842017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0197-8462,Bioelectromagnetics,,,https://onlinelibrary.wiley.com/page/journal/1521186x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1521186X,,Bioelectromagnetics Society,,,https://www.bems.org/,,,,https://www.wikidata.org/wiki/Q1954883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804-3194,Cyber Orient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432-3427,Das Mauerwerk,,http://www.ernst-und-sohn.de/en/mauerwerk?tab=autoren#rs,https://onlinelibrary.wiley.com/page/journal/14371022/homepage/2116_edbd.html,,https://onlinelibrary.wiley.com/journal/14371022,,,,,,,,,https://www.wikidata.org/wiki/Q59556501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0737-1292,ASHE-ERIC/higher education research report,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96704608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0736-5748,International journal of developmental neuroscience,,https://onlinelibrary.wiley.com/page/journal/1873474x/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/1873474x/homepage/editorial-board,,https://onlinelibrary.wiley.com/journal/1873474X,,International Society for Developmental Neuroscience,,,http://www.isdn-conference.elsevier.com/,,,,https://www.wikidata.org/wiki/Q6051371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573-802X,Medical devices & sensors,,https://onlinelibrary.wiley.com/page/journal/2573802x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/2573802x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/2573802X,,,,,,,,,https://www.wikidata.org/wiki/Q59554230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379-8068,Current protocols in plant biology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96319514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378-2242,Limnology and oceanography letters,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q50817254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532-0626,Concurrency and computation,Concurrency and Computation: Practice and Experience,https://onlinelibrary.wiley.com/page/journal/15320634/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15320634/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15320634,,,,,,,,,https://www.wikidata.org/wiki/Q15757588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0148-639X,Muscle & nerve,,,https://onlinelibrary.wiley.com/page/journal/10974598/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10974598,,American Association of Neuromuscular & Electrodiagnostic Medicine,,,http://www.aanem.org/,,,,https://www.wikidata.org/wiki/Q15764281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062-8002,The Structural design of tall buildings,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96333944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868-0054,Nachrichten aus der Chemie,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1723578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190-5991,"Journal of cachexia, sarcopenia and muscle",,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q6294897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040-5790,Applied economic perspectives and policy,,https://onlinelibrary.wiley.com/page/journal/20405804/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/20405804/homepage/editorial-board,,https://onlinelibrary.wiley.com/journal/20405804,,Agricultural & Applied Economics Association (AAEA),,,https://www.aaea.org/,,,https://twitter.com/aepp_aaea,https://www.wikidata.org/wiki/Q1835260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0895-7533,Laboratory robotics and automation,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96331001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042-7764,The Vocational guidance quarterly,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96732987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-8486,The anatomical record,,https://anatomypubs.onlinelibrary.wiley.com/hub/journal/19328494/homepage/forauthors.html,https://anatomypubs.onlinelibrary.wiley.com/hub/journal/19328494/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19328494,,,,,,,,,https://www.wikidata.org/wiki/Q2725967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0148-6403,Head & neck surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0748-8025,Communications in applied numerical methods,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96331299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
