,issn,status
1362,2634-2375,200
1363,2764-2216,200
1364,1935-2212,200
1365,2084-3836,200
1366,1412-4009,200
1367,2810-9023,404
1368,2809-0748,200
1369,2528-6722,200
1370,2749-9049,200
1371,2579-4302,200
1372,2059-1160,404
1373,2362-3675,200
1374,2181-2780,404
1375,2772-4433,200
1376,1017-7833,200
1377,0090-9556,200
1378,2710-396X,200
1379,2790-2218,200
1380,1738-3110,200
1381,2717-6967,200
1382,2789-3014,200
1383,2789-0163,200
1384,2810-918X,404
1385,2745-8792,200
1386,2714-8866,200
1387,2767-5300,200
1388,2754-2734,200
1389,2667-4858,200
1390,2813-0456,404
1391,2790-2811,200
1392,2806-8661,404
1393,2754-5008,200
1394,1658-8177,200
1395,2772-753X,200
1396,2810-9031,404
1397,2655-2337,200
1398,1314-6033,200
1399,2752-5295,200
1400,2092-528X,200
1401,2672-7277,200
1402,1658-7820,200
1403,1553-5496,404
1404,2070-0814,200
1405,2789-0988,200
1406,2808-9413,200
1407,2772-8854,200
1408,2731-4235,200
1409,2773-4188,404
1410,2598-649X,200
1411,2774-941X,200
1412,2720-3581,404
1413,2798-7043,200
1414,2770-3150,200
1415,2201-6015,404
1416,2735-4903,200
1417,2687-4563,200
1418,2181-2209,404
1419,2252-746X,200
1420,2181-2713,404
1421,2787-009X,404
1422,2798-4532,200
1423,2755-080X,200
1424,2797-7668,200
1425,2530-3287,200
